Combos,Unidades,Categorías cubiertas,Baldosas,Empapelado vinílico,Apliques de luz,Alacenas,Mesadas,Bacha y grifería,Lavavajillas + cocinas
2 - 15 - 18,22,8,3,3,3,3,3,3,4
2 - 15 - 19,22,8,3,3,3,3,3,3,4
2 - 15 - 20,22,8,3,3,3,3,3,3,4
2 - 16 - 17,22,8,3,3,3,3,3,3,4
2 - 16 - 18,22,8,3,3,3,3,3,3,4
2 - 16 - 19,22,8,3,3,3,3,3,3,4
2 - 16 - 20,22,8,3,3,3,3,3,3,4
2 - 17 - 18,22,8,3,3,3,3,3,3,4
2 - 17 - 19,22,8,3,3,3,3,3,3,4
2 - 17 - 20,22,8,3,3,3,3,3,3,4
2 - 18 - 19,22,8,3,3,3,3,3,3,4
2 - 18 - 20,22,8,3,3,3,3,3,3,4
2 - 19 - 20,22,8,3,3,3,3,3,3,4
3 - 4 - 14,23,8,3,3,3,3,3,3,5
3 - 4 - 15,23,8,3,3,3,3,3,3,5
3 - 4 - 16,23,8,3,3,3,3,3,3,5
3 - 4 - 17,23,8,3,3,3,3,3,3,5
3 - 4 - 18,23,8,3,3,3,3,3,3,5
3 - 4 - 19,23,8,3,3,3,3,3,3,5
3 - 4 - 20,23,8,3,3,3,3,3,3,5
3 - 5 - 14,23,8,3,3,3,3,3,3,5
3 - 5 - 15,23,8,3,3,3,3,3,3,5
3 - 5 - 16,23,8,3,3,3,3,3,3,5
3 - 5 - 17,23,8,3,3,3,3,3,3,5
3 - 5 - 18,23,8,3,3,3,3,3,3,5
3 - 5 - 19,23,8,3,3,3,3,3,3,5
3 - 5 - 20,23,8,3,3,3,3,3,3,5
3 - 6 - 14,23,8,3,3,3,3,3,3,5
3 - 6 - 15,23,8,3,3,3,3,3,3,5
3 - 6 - 16,23,8,3,3,3,3,3,3,5
3 - 6 - 17,23,8,3,3,3,3,3,3,5
3 - 6 - 18,23,8,3,3,3,3,3,3,5
3 - 6 - 19,23,8,3,3,3,3,3,3,5
3 - 6 - 20,23,8,3,3,3,3,3,3,5
3 - 7 - 14,23,8,3,3,3,3,3,3,5
3 - 7 - 15,23,8,3,3,3,3,3,3,5
3 - 7 - 16,23,8,3,3,3,3,3,3,5
3 - 7 - 17,23,8,3,3,3,3,3,3,5
3 - 7 - 18,23,8,3,3,3,3,3,3,5
3 - 7 - 19,23,8,3,3,3,3,3,3,5
3 - 7 - 20,23,8,3,3,3,3,3,3,5
3 - 8 - 14,23,8,3,3,3,3,3,3,5
3 - 8 - 15,23,8,3,3,3,3,3,3,5
3 - 8 - 16,23,8,3,3,3,3,3,3,5
3 - 8 - 17,23,8,3,3,3,3,3,3,5
3 - 8 - 18,23,8,3,3,3,3,3,3,5
3 - 8 - 19,23,8,3,3,3,3,3,3,5
3 - 8 - 20,23,8,3,3,3,3,3,3,5
3 - 9 - 14,23,8,3,3,3,3,3,3,5
3 - 9 - 15,23,8,3,3,3,3,3,3,5
3 - 9 - 16,23,8,3,3,3,3,3,3,5
3 - 9 - 17,23,8,3,3,3,3,3,3,5
3 - 9 - 18,23,8,3,3,3,3,3,3,5
3 - 9 - 19,23,8,3,3,3,3,3,3,5
3 - 9 - 20,23,8,3,3,3,3,3,3,5
3 - 10 - 14,23,8,3,3,3,3,3,3,5
3 - 10 - 15,23,8,3,3,3,3,3,3,5
3 - 10 - 16,23,8,3,3,3,3,3,3,5
3 - 10 - 17,23,8,3,3,3,3,3,3,5
3 - 10 - 18,23,8,3,3,3,3,3,3,5
3 - 10 - 19,23,8,3,3,3,3,3,3,5
3 - 10 - 20,23,8,3,3,3,3,3,3,5
3 - 11 - 14,23,8,3,3,3,3,3,3,5
3 - 11 - 15,23,8,3,3,3,3,3,3,5
3 - 11 - 16,23,8,3,3,3,3,3,3,5
3 - 11 - 17,23,8,3,3,3,3,3,3,5
3 - 11 - 18,23,8,3,3,3,3,3,3,5
3 - 11 - 19,23,8,3,3,3,3,3,3,5
3 - 11 - 20,23,8,3,3,3,3,3,3,5
3 - 12 - 14,22,8,3,2,3,3,3,3,5
3 - 12 - 15,22,8,3,2,3,3,3,3,5
3 - 12 - 16,22,8,3,2,3,3,3,3,5
3 - 12 - 17,22,8,3,2,3,3,3,3,5
3 - 12 - 18,22,8,3,2,3,3,3,3,5
3 - 12 - 19,22,8,3,2,3,3,3,3,5
3 - 12 - 20,22,8,3,2,3,3,3,3,5
3 - 13 - 14,22,8,3,2,3,3,3,3,5
3 - 13 - 15,22,8,3,2,3,3,3,3,5
3 - 13 - 16,22,8,3,2,3,3,3,3,5
3 - 13 - 17,22,8,3,2,3,3,3,3,5
3 - 13 - 18,22,8,3,2,3,3,3,3,5
3 - 13 - 19,22,8,3,2,3,3,3,3,5
3 - 13 - 20,22,8,3,2,3,3,3,3,5
3 - 14 - 15,22,8,3,3,3,3,3,3,4
3 - 14 - 16,22,8,3,3,3,3,3,3,4
3 - 14 - 17,22,8,3,3,3,3,3,3,4
3 - 14 - 18,22,8,3,3,3,3,3,3,4
3 - 14 - 19,22,8,3,3,3,3,3,3,4
3 - 14 - 20,22,8,3,3,3,3,3,3,4
3 - 15 - 16,22,8,3,3,3,3,3,3,4
3 - 15 - 17,22,8,3,3,3,3,3,3,4
3 - 15 - 18,22,8,3,3,3,3,3,3,4
3 - 15 - 19,22,8,3,3,3,3,3,3,4
3 - 15 - 20,22,8,3,3,3,3,3,3,4
3 - 16 - 17,22,8,3,3,3,3,3,3,4
3 - 16 - 18,22,8,3,3,3,3,3,3,4
3 - 16 - 19,22,8,3,3,3,3,3,3,4
3 - 16 - 20,22,8,3,3,3,3,3,3,4
3 - 17 - 18,22,8,3,3,3,3,3,3,4
3 - 17 - 19,22,8,3,3,3,3,3,3,4
3 - 17 - 20,22,8,3,3,3,3,3,3,4
3 - 18 - 19,22,8,3,3,3,3,3,3,4
3 - 18 - 20,22,8,3,3,3,3,3,3,4
3 - 19 - 20,22,8,3,3,3,3,3,3,4
4 - 5 - 14,23,8,3,3,3,3,3,3,5
4 - 5 - 15,23,8,3,3,3,3,3,3,5
4 - 5 - 16,23,8,3,3,3,3,3,3,5
4 - 5 - 17,23,8,3,3,3,3,3,3,5
4 - 5 - 18,23,8,3,3,3,3,3,3,5
4 - 5 - 19,23,8,3,3,3,3,3,3,5
4 - 5 - 20,23,8,3,3,3,3,3,3,5
4 - 6 - 14,23,8,3,3,3,3,3,3,5
4 - 6 - 15,23,8,3,3,3,3,3,3,5
4 - 6 - 16,23,8,3,3,3,3,3,3,5
4 - 6 - 17,23,8,3,3,3,3,3,3,5
4 - 6 - 18,23,8,3,3,3,3,3,3,5
4 - 6 - 19,23,8,3,3,3,3,3,3,5
4 - 6 - 20,23,8,3,3,3,3,3,3,5
4 - 7 - 14,23,8,3,3,3,3,3,3,5
4 - 7 - 15,23,8,3,3,3,3,3,3,5
4 - 7 - 16,23,8,3,3,3,3,3,3,5
4 - 7 - 17,23,8,3,3,3,3,3,3,5
4 - 7 - 18,23,8,3,3,3,3,3,3,5
4 - 7 - 19,23,8,3,3,3,3,3,3,5
4 - 7 - 20,23,8,3,3,3,3,3,3,5
4 - 8 - 14,23,8,3,3,3,3,3,3,5
